Rk,Pk,Tm,Player
1,1,PHI,Allen Iverson
2,2,TOR,Marcus Camby
3,3,VAN,Shareef Abdur-Rahim
4,4,MIL,Stephon Marbury
5,5,MIN,Ray Allen
6,6,BOS,Antoine Walker
7,7,LAC,Lorenzen Wright
8,8,NJN,Kerry Kittles
9,9,DAL,Samaki Walker
10,10,IND,Erick Dampier
11,11,GSW,Todd Fuller
12,12,CLE,Vitaly Potapenko
13,13,CHH,Kobe Bryant
14,14,SAC,Peja Stojaković
15,15,PHO,Steve Nash
16,16,CHH,Tony Delk
17,17,POR,Jermaine O'Neal
18,18,NYK,John Wallace
19,19,NYK,Walter McCarty
20,20,CLE,Zydrunas Ilgauskas
21,21,NYK,Dontae' Jones
22,22,VAN,Roy Rogers
23,23,DEN,Efthimios Rentzias
24,24,LAL,Derek Fisher
25,25,UTA,Martin Müürsepp
26,26,DET,Jerome Williams
27,27,ORL,Brian Evans
28,28,ATL,Priest Lauderdale
29,29,CHI,Travis Knight
30,30,HOU,Othella Harrington
31,31,PHI,Mark Hendrickson
32,32,PHI,Ryan Minor
33,33,MIL,Moochie Norris
34,34,DAL,Shawn Harvey
35,35,SEA,Joseph Blair
36,36,LAC,Doron Sheffer
37,37,DEN,Jeff McInnis
38,38,BOS,Steve Hamer
39,39,PHO,Russ Millard
40,40,GSW,Marcus Mann
41,41,SAC,Jason Sasser
42,42,HOU,Randy Livingston
43,43,PHO,Ben Davis
44,44,CHH,Malik Rose
45,45,SEA,Joe Vogel
46,46,POR,Marcus Brown
47,47,SEA,Ron Riley
48,48,PHI,Jamie Feick
49,49,ORL,Amal McCaskill
50,50,HOU,Terrell Bell
51,51,VAN,Chris Robinson
52,52,IND,Mark Pope
53,53,MIL,Jeff Nordgaard
54,54,UTA,Shandon Anderson
55,55,WSB,Ronnie Henderson
56,56,CLE,Reggie Geary
57,57,SEA,Drew Barry
58,58,DAL,Darnell Robinson
